kd_kec;kd_kab;nm_kec
367401;3674;Serpong
367402;3674;Serpong Utara
367403;3674;Pondok Aren
367404;3674;Ciputat
367405;3674;Ciputat Timur
367406;3674;Pamulang
367407;3674;Setu
367101;3671;Tangerang
367102;3671;Jatiuwung
367103;3671;Batuceper
367104;3671;Benda
367105;3671;Cipondoh
367106;3671;Ciledug
367107;3671;Karawaci
367108;3671;Periuk
367109;3671;Cibodas
367110;3671;Neglasari
367111;3671;Pinang
367112;3671;Karang Tengah
367113;3671;Larangan
360301;3603;Balaraja
360302;3603;Jayanti
360303;3603;Tigaraksa
360304;3603;Jambe
360305;3603;Cisoka
360306;3603;Kresek
360307;3603;Kronjo
360308;3603;Mauk
360309;3603;Kemiri
360310;3603;ukadiri
360311;3603;Rajeg
360312;3603;Pasar Kemis
360313;3603;Teluknaga
360314;3603;Kosambi
360315;3603;Pakuhaji
360316;3603;Sepatan
360317;3603;Curug
360318;3603;Cikupa
360319;3603;Panongan
360320;3603;Legok
360321;3603;  Serpong
360322;3603;Pagedangan
360323;3603;Cisauk
360324;3603;  Pondok Aren
360325;3603;  Pamulang
360326;3603;  Ciputat
360327;3603;Sukamulya
360328;3603;Kelapa Dua
360329;3603;Sindang Jaya
360330;3603;Sepatan Timur
360331;3603;Solear
360332;3603;Gunung Kaler
360333;3603;Mekar Baru
360334;3603;  Ciputat Timur
360335;3603;  Serpong Utara
360336;3603;  Setu
