kd_kec,kd_kab,nm_kec
360101,3601,S U M U R
360102,3601,CIMANGGU
360103,3601,CIBALIUNG
360104,3601,CIKEUSIK
360105,3601,CIGEULIS
360106,3601,PANIMBANG
360107,3601,ANGSANA
360108,3601,MUNJUL
360109,3601,PAGELARAN
360110,3601,BOJONG
360111,3601,PICUNG
360112,3601,LABUAN
360113,3601,MENES
360114,3601,SAKETI
360115,3601,CIPEUCANG
360116,3601,J I P U T
360117,3601,MANDALAWANGI
360118,3601,CIMANUK
360119,3601,KADUHEJO
360120,3601,BANJAR
360121,3601,PANDEGLANG
360122,3601,CADASARI
360123,3601,CISATA
360124,3601,PATIA
360125,3601,KARANG TANJUNG
360126,3601,CIKEDAL
360127,3601,CIBITUNG
360128,3601,CARITA
360129,3601,SUKARESMI
360130,3601,MEKARJAYA
360131,3601,SINDANGRESMI
360132,3601,PULOSARI
360133,3601,KORONCONG
360134,3601,Majasari
360135,3601,Sobang
360201,3602,MALINGPING
360202,3602,PANGGARANGAN
360203,3602,B A Y A H
360204,3602,CIPANAS
360205,3602,M U N C A N G
360206,3602,LEUWIDAMAR
360207,3602,BOJONGMANIK
360208,3602,GUNUNGKENCANA
360209,3602,BANJARSARI
360210,3602,CILELES
360211,3602,CIMARGA
360212,3602,S A J I R A 
360213,3602,M  A  J  A
360214,3602,RANGKASBITUNG
360215,3602,WARUNGGUNUNG
360216,3602,CIJAKU
360217,3602,CIKULUR
360218,3602,CIBADAK
360219,3602,CIBEBER
360220,3602,CILOGRANG
360221,3602,WANASALAM
360222,3602,SOBANG
360223,3602,CURUG BITUNG
360224,3602,KALANGANYAR
360225,3602,LEBAK GEDONG
360226,3602,CIHARA
360227,3602,CIRENTEN
360228,3602,CIGEMBLONG
360401,3604,SERANG
360402,3604,CIPOCOK JAYA
360403,3604,KASEMEN
360404,3604,TAKTAKAN
360405,3604,KRAMATWATU
360406,3604,WARINGINKURUNG
360407,3604,BOJONEGARA
360408,3604,PULO AMPEL
360409,3604,CIRUAS
360410,3604,WALANTAKA
360411,3604,KRAGILAN
360412,3604,PONTANG
360413,3604,TIRTAYASA
360414,3604,T A N A R A
360415,3604,CIKANDE
360416,3604,KIBIN
360417,3604,CARENANG
360419,3604,P E T I R
360420,3604,TANJUNG TEJA
360421,3604,C U R U G
360422,3604,B A R O S
360423,3604,CIKEUSAL
360424,3604,PAMARAYAN
360425,3604,K O P O
360426,3604,JAWILAN
360427,3604,C I O M A S
360428,3604,PABUARAN
360429,3604,PADARINCANG
360430,3604,A N Y A R
360431,3604,CINANGKA
360432,3604,M A N C A K
360433,3604,GUNUGSARI
360434,3604,BANDUNG
360435,3604,LEBAKWANGI
367101,3671,TANGERANG
367102,3671,JATIUWUNG
367103,3671,BATU CEPER
367104,3671,BENDA
367105,3671,CIPONDOH
367106,3671,CILEDUG
367107,3671,KARAWACI
367108,3671,PERIUK
367109,3671,CIBODAS
367110,3671,NEGLASARI
367111,3671,PINANG
367112,3671,KARANG TENGAH
367113,3671,LARANGAN
367201,3672,CIBEBER
367202,3672,CILEGON
367203,3672,PULOMERAK
367204,3672,CIWANDAN
367205,3672,JOMBANG
367206,3672,GEROGOL
367207,3672,PURWAKARTA
367208,3672,CITANGKIL
367301,3673,Serang
367302,3673,Kasemen
367303,3673,Walantaka
367304,3673,Curug
367305,3673,Cipocok Jaya
367306,3673,Taktakan
