kd_kec,kd_kab,nm_kec
320401,3204,Padalarang
320402,3204,Batujajar
320403,3204,Cipatat
320404,3204,Ngamprah
320405,3204,Cileunyi
320406,3204,Cimenyan
320407,3204,Cilengkrang
320408,3204,Bojongsoang
320409,3204,Margahayu
320410,3204,Margaasih
320411,3204,Katapang
320412,3204,Dayeuhkolot
320413,3204,Banjaran
320414,3204,Pameungpeuk
320415,3204,Pangalengan
320416,3204,Arjasari
320417,3204,Cimaung
320418,3204,Cililin
320419,3204,Sindangkerta
320420,3204,Cipongkor
320421,3204,Gununghalu
320422,3204,Rongga
320423,3204,Cikalongwetan
320424,3204,Cipendeuy
320425,3204,Cicalengka
320426,3204,Nagreg
320427,3204,Cikancung
320428,3204,Rancaekek
320429,3204,Ciparay
320430,3204,Pacet
320431,3204,Kertasari
320432,3204,Baleendah
320433,3204,Majalaya
320434,3204,Solokanjeruk
320435,3204,Paseh
320436,3204,Ibun
320437,3204,Soreang
320438,3204,Pasirjambu
320439,3204,Ciwidey
320440,3204,Rancabali
320441,3204,Lembang
320442,3204,Cisarua
320443,3204,Paropong
320444,3204,Cangkuang
320445,3204,Cihampelas
320446,3204,Kutawaringin
